purple egg thing	紫色蛋形物
It seems obvious to you that Wally Wood did some time designing Sarien hardware.	看得出來，沙利安人這套設備八成也找沃利·伍德操刀設計過。
that radio thing	那個收音機一樣的東西
It's either a mega-frequency wide band spectrofonic analyzer module or one of those really old table model radios.	這不是超高頻寬頻聲譜分析儀模組，就是哪台老掉牙的桌上型收音機。
various machines	各式各樣的機器
row-o-lights	一整排的燈
This bank of lights looks extremely important, or it would if you were a Sarien.	這排燈看起來超重要——至少你要是沙利安人的話會這麼覺得。
This is an elevator.	這是一台電梯。
garbage disposal	垃圾處理場
This utilitarian-looking door probably leads to the trash disposal facility.	這扇看起來很陽春的門，八成通往垃圾處理設施。
purple energy	紫色能量
Vast amounts of energy.	龐大的能量。
An intense beam of energy.	一道強烈的能量光束。
bottled energy	瓶裝能量
electric balls	電光球
From the looks of them, these globes contain high-power Wally coils, each one capable of discharging jillions of volts of deadly electricity.	看這幾顆球的樣子，裡頭裝的是高功率的沃利線圈，每一顆都能放出幾兆伏特的致命電流。
blue machine	藍色機器
The egg-shaped globe pulses with blue-white light. It appears to be some exotic form of bottled energy, or maybe a 60,000 watt light bulb.	這顆蛋形球體閃著藍白色的光芒，看起來像某種奇特的瓶裝能量，或者是一顆六萬瓦的燈泡。
rounded purple thing	圓滾滾的紫色物體
Looks like a great place to curl up and take a nap. Too bad you're in such a hurry.	看起來蜷在這裡睡一覺挺不錯的，可惜你現在正趕時間。
cleaning droid	清潔機器人
Broom at the ready, the cleaning droid waits for something useful to do.	清潔機器人拿著掃把待命，等著有什麼正經事可以做。
The globes crackle with many colors of light and, you suspect, even less healthful manifestations of the electromagnetic spectrum.	這些球體發出五顏六色的劈啪電光，你懷疑裡頭還藏著一些對身體更不健康的電磁波。
It looks like some kind of cartridge reader. Maybe the cartridge you have will work in it.	這看起來像是某種資料匣讀取機，說不定你手上的資料匣能派上用場。
A tiny little sign tacked on the front reads: Witzend Coil. Disconnect from power supply before servicing.	正面釘著一張小小的告示牌，寫著：「維茲恩德線圈。維修前請先切斷電源。」
small machine	小型機器
I give up. YOU tell ME what it is.	我放棄了，換你告訴我這是什麼。
upper level machine	上層機器
It looks like some type of experimental orifice.	看起來像某種實驗性的開口。
An elevator door to the lower level	通往下層的電梯門
An elevator door to the upper level	通往上層的電梯門
These egg-shaped lights - if that's what they are - are just another example of the rather whimsical designs you've observed on this ship. For ugly, smelly, green, planet- destroying murderers, the Sariens appear to have a great sense of aesthetics.	這些蛋形的燈——如果真的是燈的話——只是你在這艘船上見識過的怪奇設計之一。以一群又醜又臭又綠、還會毀滅整顆行星的殺手來說，沙利安人的美感倒是相當不錯。
It's a port of some kind. You've seen more empty space than you care to ever again.	這是某種艙口。這輩子看過的太空景色，你早就多到看膩了。
Those are some weird globes. They aren't operating at this time.	那幾顆球挺詭異的，現在沒有在運作。
Fantastic technology... isn't it?	這科技真厲害……對吧？
panel of lights	燈光面板
It's a panel of lights.	這是一片燈光面板。
Since your X-ray Vision Specs have not yet arrived in the mail, you don't even know this room is over here, so quit messing around and do something useful.	你的X光透視眼鏡還沒寄到，所以你根本不知道這裡有這間房間，別鬧了，去做點正經事吧。
You're uncertain whether this is a Walwoodian cryobaric hypersleep chamber or the transmission out of a late model Buick Skylark.	你也搞不清楚，這到底是沃利·伍德風格的低溫冬眠艙，還是哪台舊款別克 Skylark 拆下來的變速箱。
rear view mirror	後照鏡
It appears to be a standard driver-side rear view mirror, probably standard on all ships of this class.	看起來是標準的駕駛座後照鏡，這個等級的太空船大概都有配備。
globes-o-power	電力光球
Two zapping, crackling globes spew forth gargantuan amounts of sizzling raw energy. Kinda neat, huh?	兩顆劈哩啪啦作響的電光球，源源不絕地噴出驚人的原始能量，還挺酷的吧？
You surmise this is a Sarien enlisted being.	你猜這是個沙利安大兵。
One of those gruesome red-suited Sariens is patrolling the hallways, looking for intruders to toast.	一個穿著紅色制服、面目猙獰的沙利安人正在走廊巡邏，準備把闖入者烤成焦炭。
The left hand force field emitter, much like the right, radiates an unknown form of energy that keeps you from approaching the Star Generator.	左邊的力場發射器和右邊那個很像，都會放出某種未知能量，讓你沒辦法靠近星辰產生器。
The right hand force field emitter, in a fashion altogether similar to the left hand one, beams an inexplicable power into the vicinity of the Star Generator that makes it impossible to get near.	右邊的力場發射器跟左邊那個一模一樣，也會朝星辰產生器周圍發出一股莫名其妙的能量，讓人根本靠近不了。
Cowabunga, Wilco - this is IT! It's the unimaginably powerful Star Generator, which must not, at any cost, be allowed to remain in the hands of the evil Sariens! (but you knew that, right?)	讚啦，威爾科——就是這個！這正是威力大到難以想像的星辰產生器，不管付出什麼代價，都絕對不能讓它繼續留在邪惡的沙利安人手裡！（不過這你早就知道了吧？）
The pulsing energy surging from the Star Generator tells you that it has been activated and you had better quit hanging around staring at the pretty colors.	星辰產生器不斷湧出的脈動能量告訴你，它已經啟動了，你最好別再杵在這裡看那些漂亮的光發呆。
A receptor for somekind of remote control signal.	某種遙控訊號的接收器。
It's the used gas grenade.	是那顆用過的瓦斯手榴彈。
Da Cnythuk	Da Cnythuk
upper landing	上層平台
It's the walkway above the Star Generator.	這是星辰產生器上方的走道。
force field emitter 	力場發射器 
This is one of the force field's emitters.	這是力場發射器之一。
The Wally Tubes look strangely empty without Thunder Agents in them.	沃利管少了雷霆特攻隊，看起來莫名地空蕩。
outer space 	外太空 
Looking into the vast reaches of space gives you the curious illusion of being tiny, unimportant, insignificant, negligible, and totally irrelevant in the scheme of things. Then you realize it's not an illusion.	望向浩瀚無垠的太空，你產生一種奇妙的錯覺，覺得自己渺小、不重要、微不足道、無關緊要，在整個大局裡什麼都不是。接著你才發現，那根本不是錯覺。
|PadButton	|PadButton
left elevator door	左邊電梯門
It's an elevator, much like the ones you used to waste time in aboard the Arcada.	這是一台電梯，跟你以前在阿寇達號上浪費時間搭的那種很像。
The right elevator is identical to the left except for the ugly green guy standing in front of it.	右邊的電梯跟左邊那台一模一樣，只是前面站了一個醜醜的綠皮傢伙。
right elevator door	右邊電梯門
escape pod launch tube	逃生艙發射管
"Roger Wilco, we, the people of Xenon, extend our limitless appreciation and eternal gratitude for your acts of heroism."	「羅傑·威爾科，我們氙星的全體人民，要向你這番英勇事蹟致上無盡的感激與永恆的謝意。」
"Because of your bravery, the planet Xenon, and indeed the entire galaxy, has been saved from domination by the evil (not to mention ugly) Sariens."	「因為你的英勇，氙星，乃至於整個銀河系，都免於落入邪惡（而且醜陋）的沙利安人統治之下。」
