The fuel supply has expired.	燃料已經耗盡了。
This button just doesn't work the same since the accident.	這顆按鈕自從那次意外後，就一直不太對勁。
You have a feeling you shouldn't have pressed that button.	你有種預感，剛才不該按那顆按鈕的。
Ouch! I think we've got some serious organ damage here! All of them, of course, could be easily replaced in the time period from which you've just arrived. However, a quick scenery check reveals that you are now in the Dark Ages. The only transplant you'll get here is from carcass to spit over flame.	哎唷！看來你的內臟嚴重受損了！這些器官在你原本那個時代其實都能輕鬆換新，可惜你現在人在黑暗時代。這裡唯一的「器官移植」，就是把你的屍體串起來架在火上烤。
As you draw a few final lungfuls of oxygen through your newly-acquired sucking chest wound, you gleefully notice your final resting place is near beautiful Nottingham Castle - universally renowned for its inclusion in Sierra's 'Conquests of the Longbow'.	你透過新添的胸口破洞吸進最後幾口氧氣，卻開心地發現自己命喪的地方，離美麗的諾丁漢城堡不遠——那正是因為在 Sierra 出品的《Conquests of the Longbow》裡出現過而聲名遠播。
Oh, my goodness! You're shocked to hear some highly inflammatory language making its way into your auditory canals. Must be some uncivilized ruffians in the nearby pub.	天哪！你驚訝地聽見一連串火爆的粗話鑽進耳朵裡，一定是附近酒吧那些沒教養的傢伙在鬧事。
Well, you're dead again. We even warned you not to push that button. You have no one to blame but yourself for having to sit through a plug for another fine Sierra product. Maybe you'll follow directions next time. Thanks for playing (and all that stuff).	好啦，你又死了。我們都警告過你別按那顆按鈕了。現在得乖乖看一段其他 Sierra 好產品的廣告，也只能怪你自己。下次記得乖乖照指示做。謝謝遊玩（諸如此類的話）。
The lack of fuel allows you to float aimlessly through space.	燃料耗盡讓你只能在太空裡漫無目的地飄。
You are already thrusting through space.	你已經在太空中全速推進了。
You have no need to remove your seatbelt.	你沒必要解開安全帶。
Hey, this baby saved your life. The view out the window, however, might make you regret it.	嘿，這寶貝救了你一命。不過窗外的景色，可能會讓你後悔活下來。
Dials galore populate the instrument console of the pod cabin.%s	逃生艙艙房的儀表板上，滿滿都是各種轉盤。%s
This is the pod's instrument console. Dials, gauges, and a couple of controls fill out the board.%s	這是逃生艙的儀表板，上面滿是轉盤、儀表和幾個控制鈕。%s
This is the lucky escapee's seat.%s	這是幸運逃生者的座位。%s
Through the fractured pod window, you see utter desolation spread out before you. You suddenly feel very lonely.	透過逃生艙破裂的窗戶，你看見眼前是一片荒蕪，突然覺得好孤單。
The window allows you an unrestricted view of the vast nothingness of space.	這扇窗讓你把浩瀚太空的一片虛無看得清清楚楚。
The rugged landing liberated the survival kit from its mounting fixture.	這次硬著陸把求生包從固定架上震了下來。
Within the survival kit are the necessities for surviving a brief stay in a less-than-hospitable environment.	求生包裡裝的是，在惡劣環境下撐一陣子的必需品。
