Through the metallic lattice you glimpse still another hallway below.	透過金屬格柵，你瞥見底下還有一條走廊。
elevator light	電梯燈號
You aren't on that level.	你不在那一層。
elevator door	電梯門
warning light	警示燈
panicking droid	驚慌失措的機器人
A somewhat spastic research droid blows by in a tizz. Perhaps you could provide some relaxation therapy instruction to reduce its level of tension.	一台有點神經質的研究機器人風風火火地衝過去，看起來慌張得很。也許你可以教它做點放鬆練習，舒緩一下緊張情緒。
a keycard.	一張磁卡。
nothing.	什麼也沒有。
Jerry	傑瑞
It's all that remains of Jerry, one of the few technodudes aboard who sometimes tolerated your company. Your low clearance excluded you from visiting him during the performance of his duties in the elegant lower level airlock of the Arcada.	這是傑瑞僅存的遺骸，他是船上少數幾個還能忍受你陪伴的技術宅之一。你的權限太低，沒辦法去他執勤的地方找他——阿寇達號下層那間裝潢體面的氣密艙。
alert sign	警報標示
Gee! The sign seems to be flashing. Could it be a warning of some kind? Who knows? You're always slower than normal after a nap.	喔！這個標示好像在閃。該不會是什麼警告吧？誰知道呢？你睡完午覺後腦筋總是比平常更遲鈍。
These appear to be doors to an elevator.	這看起來是電梯的門。
David	大衛
A cursory glance indicates that Dave, a lab technician, is dead. Normally you wouldn't be able to tell, except that his intestines are hanging out of the scorched opening where his abdominal wall used to be. You remember that he was forced to serve in the Xenon National Guard (but he wasn't bitter).	隨便看一眼就知道，實驗室技師戴夫死了。照理說你根本看不出來，只不過他的腹壁已經燒穿一個大洞，腸子整條垂在外面。你記得他當年被強徵去服氙星國民兵役（不過他倒沒半點怨言）。
Blanche	布蘭琪
This is one of the head research scientists, Blanche. You wanted to get to know her a little better. However, seeing her ruptured chest wall reveals more about her than you were hoping to learn.	這是首席研究科學家之一，布蘭琪。你本來想多認識她一點，不過看到她那被扯裂的胸腔，知道的可比你原先想了解的還多。
An arrow in the elevator light assembly points up.	電梯燈號組裡的箭頭指向上方。
alert light	警示燈
In case you're trying to play this as a text adventure, the sign says 'RED ALERT' and it's flashing.	以防你想把這當文字冒險遊戲玩：告訴你，這個標示寫著「紅色警報」，而且正在閃爍。
This is an elevator to one of the other levels of the Arcada.	這是通往阿寇達號其他樓層的電梯。
A fairly spazzed-out droid is on the loose in your immediate proprioceptic area.	有一台抓狂到不行的機器人，正在你附近這片「本體感覺範圍」內橫衝直撞。
This is the door to the top secret Star Generator Lab. It's been forcibly ventilated!	這是最高機密星辰產生器實驗室的門——已經被硬生生鑿出幾個「通風孔」了！
Randy	藍迪
The lifeless body of Randy, one of the lab technicians, lies sprawled at your feet. Those laser blasts are nasty. Why, you can't distinguish one exposed organ from another.	實驗室技師藍迪的屍體攤在你腳邊，早沒了氣息。雷射轟出來的傷口真的很噁心，那些外露的器官你根本分不出哪個是哪個。
Yet another crewman's motionless body reduces the shine of the floor wax. Hugh doesn't look too neat and clean with his lungs hanging out like that.	又一具船員的屍體躺在地上，把打過蠟的地板弄得不再光亮。休的肺整個掛在外面，看起來一點都不乾淨俐落。
