Let me out of here!\n(Quit)	放我出去！\n（結束遊戲）
I don't know WHAT\nI was thinking.\nLet's Play!	我剛剛到底在想什麼？\n算了。\n來玩吧！
Changed My Mind.\nLet's Play!	我改變主意了。\n來玩吧！
\n(switch theItem (%d	\n(switch theItem (%d
Would you like to skip\nthe introduction or\nwatch the whole thing?	要跳過\n開場動畫，\n還是看完整段？
 1991 Sierra On-Line, Inc.	 1991 Sierra On-Line, Inc.
Animators:\n\nDouglas Herring\nVasken Nokhoudian\nNathan Larsen\nArturo Sinclair\nDeena Krutak\nDesie Hartman\nJerry Jessurun\nRussell Truelove\nDiana R. Wilson\n	動畫師：\n\nDouglas Herring\nVasken Nokhoudian\nNathan Larsen\nArturo Sinclair\nDeena Krutak\nDesie Hartman\nJerry Jessurun\nRussell Truelove\nDiana R. Wilson\n
Background Artists:\n\nDouglas Herring\nNathan Larsen\nArturo Sinclair\nEric Kasner\nWillis Wong\nJay Allan Friedmann\nJennifer Shontz\nAndy Hoyos\nJane Cardinal\nMaurice F. Morgan\n	背景美術：\n\nDouglas Herring\nNathan Larsen\nArturo Sinclair\nEric Kasner\nWillis Wong\nJay Allan Friedmann\nJennifer Shontz\nAndy Hoyos\nJane Cardinal\nMaurice F. Morgan\n
Programmers:\n\nJerry Shaw\nRandy MacNeill\nDave Jamriska\nHugh Diedrichs\nChristopher Carr\n	程式設計師：\n\nJerry Shaw\nRandy MacNeill\nDave Jamriska\nHugh Diedrichs\nChristopher Carr\n
Music Director:\n\nMark Seibert\n	音樂總監：\n\nMark Seibert\n
System Development:\n\nChris Smith\nJeff Stephenson\nRobert E. Heitman\nPablo Ghenis\nDan Foy\nLarry Scott\nJ. Mark Hood\nMark Wilden\nEric Hart\nChad Bye\n	系統開發：\n\nChris Smith\nJeff Stephenson\nRobert E. Heitman\nPablo Ghenis\nDan Foy\nLarry Scott\nJ. Mark Hood\nMark Wilden\nEric Hart\nChad Bye\n
Sound Effects:\n\nKen Allen\nMark Seibert\nOrpheus Hanley\n	音效：\n\nKen Allen\nMark Seibert\nOrpheus Hanley\n
Additional Written Material:\n\nBridget McKenna\nGano Haine\n	額外文案：\n\nBridget McKenna\nGano Haine\n
Quality Assurance:\n\nSharon Simmons 	品質保證：\n\nSharon Simmons 
That's not possible. It's so dark that you couldn't find your own navel lint. Surely you MUST remember that this was the criteria by which you came to choose this location for your nap... er... work station.	不行啦。這裡黑到你連自己肚臍上的棉絮都找不到。你該不會忘了吧，當初你選這裡打盹……呃……上班，看中的就是這裡有多暗。
This is another hallway aboard the Arcada. There is an elevator door nearby.	這裡是阿寇達號上的另一條走廊，附近有一道電梯門。
More hallway extends through the Arcada. There is an elevator door nearby.	阿寇達號的走廊還在往前延伸，附近有一道電梯門。
This is the Star Generator Development Laboratory. Due to your incredibly low security clearance, you have never had access to this room. What a mess! Wreckage clutters the middle of the floor. A pair of lab workers have been blasted from the roster of the living. You're glad somebody else has to clean this up!	這裡是星辰產生器研發實驗室。就憑你低到不行的權限，照理說根本進不了這房間。這裡亂七八糟！殘骸堆滿了地板中央，兩名實驗室人員已經從「活人名冊」上除名了。還好善後不用你來收拾，真是謝天謝地！
This is a section of one of the lower levels of Arcada.	這裡是阿寇達號下層的一部分。
This place looks like a monument to Soviet computer hardware miniaturization. At one time, it served as a development facility for the Star Generator. But that was in the early phase of the project.	這地方看起來像蘇聯電腦硬體微縮技術的紀念碑。這裡曾是星辰產生器的研發設施，不過那是計畫早期的事了。
You're at the east end of one of the development labs. Another elevator is available here.	你在其中一間研發實驗室的東側，這裡也有一座電梯。
This is the airlock of the Arcada.	這裡是阿寇達號的氣密艙。
This is the cavernous Vehicle Bay. An escape pod rests on launch rails at the end of the platform. Bay doors at the end of the rails allow access to the emptiness beyond.	這裡是空盪盪的載具艙。一具逃生艙停在平台盡頭的發射軌道上，軌道另一端的艙門通往外面的虛空。
