As you exit the ship, you carefully slide the jetpack on your back.	你走出太空船時，小心翼翼地把噴射背包揹到背上。
As you undo your seatbelts and exit the escape pod. You can feel yourself just start to uncontrollably drifting away.	你解開安全帶、走出逃生艙，才發現自己整個人不受控制，就這樣飄了出去。
The inhabitants of this vessel apparently do not appreciate your desire to sight-see. I guess it's a good idea not to be wandering around the outside this ship. You were a carbon-based being. Now your just carbon.	看來這艘船上的住客不太欣賞你觀光的興致。看樣子在船外閒晃真的不是什麼好主意。你原本是碳基生物，現在只剩下一堆碳了。
You are floating in space just outside the biggest darn spaceship you've ever seen. You see a door. Perhaps it is a way in?	你正漂浮在太空中，就在你這輩子看過最誇張的一艘太空船外面。你看到一扇門，也許是個入口？
It appears to be a standard airlock. There is a handle off to the side.	這看起來是標準的氣密艙門，旁邊有個把手。
Its too big to move by hand. There must be a better way.	這東西太大了，用手推不動，一定有更好的辦法。
Not through your helmet.	隔著頭盔可不行。
You would have to take your helmet off first, and that's not a very good idea.	你得先把頭盔脫掉才行，但這可不是什麼好主意。
It's a handle.	這是個把手。
You'd have to take your helmet off first and that would prove fatal.	你得先脫掉頭盔才行，不過那樣做絕對會要你的命。
"Outta my way!" beeps the rude little droid.	「閃開啦！」那個沒禮貌的小機器人嗶了一聲。
Bumping you, the droid causes you to come into contact with exposed wiring. Your heart, not to mention the rest of your body, doesn't react well to this (have you ever seen rhubarb pie without the crust?). Guess you'll have to be a little more clever next time.	機器人這麼一撞，你就這樣碰上了裸露的電線。你的心臟——更別說全身其他部位——對這件事反應非常不妙（你看過沒有派皮的大黃派長什麼樣子嗎？）。看來下次得聰明一點囉。
You missed a golden opportunity while that door was open. Oh well, what's new. All alone and by yourself, you grow incredibly hungry and begin sampling your own body parts. Finding that you have absolutely no taste, (like we didn't already know that) you end up shriveling away to nothing and dying in the process.	剛剛那扇門開著的時候，你錯過了大好機會。唉，反正也不是第一次了。你孤零零一個人，餓得受不了，開始啃起自己的身體。結果發現自己一點味道都沒有（這我們早就知道了），最後你就這樣枯萎成一團什麼都不剩，死掉了。
ALERT ! ALERT ! Organic contamination detected in airlock.	警報！警報！氣密艙內偵測到有機體污染。
Those laser shots are incredibly effective as your body will attest. Being in plain sight probably didn't help you much.	那些雷射砲火有多厲害，你的身體可以作證。站在那麼顯眼的地方，大概也幫不了你什麼忙。
This seems to be some sort of special door control panel. It requires some sort of special keycard which you obviously don't have.	這看起來是某種特殊的門禁控制面板，需要一種特殊磁卡才能用，而你顯然沒有。
There is nothing you can do to it without one of those keycards.	沒有那種磁卡，你對它一點辦法都沒有。
