This is the lucky escapee's seat.	這是幸運逃脫者的座位。
Window	窗戶
This is a button pad.	這是一塊按鈕面板。
deltaur arms	代爾它的機械臂
don't need this	用不到這個。
survival kit	求生包
The survival kit contains the basics for deep space survival.	這個求生包裡，裝著深空求生的基本配備。
don't need one.	不需要。
This is radar for the Autonav system.	這是自動導航系統的雷達。
This is your arm.	這是你的手臂。
This is your head. This is your head in a fishbowl.	這是你的頭。這顆頭正泡在魚缸裡呢。
Stars glow from afar.	遠方的星星閃著微光。
Arcada	阿寇達號
It's your former ship, the Arcada.	那是你以前待的船——阿寇達號。
Deltaur	代爾它號
Deltaur lookStr	Deltaur lookStr
escape pod	逃生艙
This is the escape pod. It is currently occupied by you.	這是逃生艙，目前有你在裡面。
Autonav button	自動導航鈕
This is the Autonav button. When operative it allows the pod to navigate to the closest habitable planet.	這是自動導航鈕。運作正常時，能讓逃生艙自動飛往最近的適居行星。
power button	電源開關
Choose the appropriate button.	選對按鈕啊。
This lever causes forward propulsion of the pod when powered-up and in space.	這根拉桿在逃生艙通電且身處太空時，會讓艙體向前推進。
Dials galore populate the instrument console of the pod cabin. Too bad none of them work anymore.	艙內的儀表板上擺滿了各種儀錶，可惜一個能用的都沒有。
 Too bad none of them work anymore.	 可惜一個能用的都沒有。
 It might have been dampened slightly by that landing.	 經過那次硬著陸，它似乎稍微受到了點影響。
On this button pad are the AUTONAV, POWER, and DON'T TOUCH buttons.	這片按鈕面板上有「自動導航」、「電源」，還有一個「別碰」鈕。
Kerona	柯羅娜星
should be hands-off	看來最好別去碰。
Mountains generously dappled with spires of unknown formational origin loom at your visual terminus.	極目所及的地平線上，矗立著一片山脈，上頭布滿了來歷不明的尖塔狀岩層。
Simple radar.	簡易雷達。
star 1	星星1
star 2	星星2
don't need	不需要
The spent drives of the pod vent fumes after the long escape from the Arcada.	逃生艙的引擎已經耗盡，脫離阿寇達號的長途飛行後，還冒著陣陣廢氣。
This is the escape pod's hatch.	這是逃生艙的艙門。
 Its service life has expired as a result of the rugged touch-down.	 因為那次粗暴的著陸，它的使用壽命已經到頭了。
In the distance stand the skeletal remains of of a massive beast of some type, the likes of which you never saw on Xenon. You hope it's a one of a kind relic.	遠方矗立著某種巨獸的骸骨，種類詭異到你在氙星上從沒見過。你但願這只是絕無僅有的孤例。
You are at the northwest boundary of a massive skeletal structure. Sand stretches out in all other directions.	你正站在一具巨大骸骨結構的西北端。除此之外，四面八方都是黃沙。
This is the north-central boundary of a massive skeletal structure surrounded by arid terra not-so-firma.	這裡是那具巨大骸骨結構的正北端，四周是一片乾燥、卻稱不上「腳踏實地」的荒土。
shiny thingy	亮晶晶的小東西
It looks interesting. Although hard to tell from where you are standing, it may be a sign. If you got closer, maybe you could read it.	看起來挺有意思的。雖然你現在站的位置看不清楚，但那可能是塊告示牌。走近一點，說不定就能看懂上面寫什麼了。
Were you a proctologist, you might know what these oddly shaped bones are called. To you, though, they're just bones.	如果你是肛腸科醫生，或許還認得出這堆造型奇怪的骨頭叫什麼名字。可惜對你來說，那就只是一堆骨頭。
exit hole	出口洞
bone bridge	骨橋
This genetically defective vertebra looks like it would be intolerant to much load bearing.	這節先天發育不良的脊椎骨，看起來承受不了多少重量。
What started out at one time as mere hairline fractures are now clearly cracks in the imperfect vertebral module.	原本只是幾道細微裂痕，如今在這節有缺陷的脊椎骨上，已經清清楚楚裂開了。
strange plant pod	詭異的植物莢果
No doubt about it. Those are some serious teeth. It could've used a little dental work - maybe some braces even. It's just a good thing you never had the opportunity to be on the business end of these things when it was still a living being.	這絕對是貨真價實的利牙。當初真該去洗個牙、矯正一下──說不定還得戴牙套。還好在牠還活著的時候，你從沒機會親身見識這幾顆牙的厲害。
This must be the skull previously attached to the rest of the mammoth bones partially assembled here.	這顆頭骨想必原本就接在這堆巨大骸骨上頭。
This looks like it might have been a minimally developed, manipulative appendage for the fallen and fossilized beast.	看起來，這可能是這頭化石巨獸身上一支發育不良、用來抓取東西的附肢。
The sand of Kerona has a reddish-orange color to it. Were you a geologist instead of a janitor, you might find this fact interesting.	柯羅娜星的沙子帶著一股橙紅色。如果你是地質學家而不是清潔工，或許會覺得這挺有意思的。
neck bone	頸骨
Cervical vertebrae taper off and appear to vanish gradually into the sand.	頸椎逐漸變細，彷彿慢慢沒入沙中。
These foreclaws were once razor-sharp, but the forces of the elements have reduced them to over-sized blunt toe nails. It's a good thing you didn't come here in an earlier time. These things would have torn you a new one.	這些前爪曾經鋒利如刀，如今被風吹日曬磨成了一副過大又鈍的腳趾甲。還好你沒有早點跑來這裡，不然這幾隻爪子早把你撕成碎片了。
Orat is huge and ugly. Of course, your opinion may differ depending on what part of the universe you come from. You also get the impression that he might be quite mean.	歐拉特體型巨大又醜陋。當然啦，這也要看你是宇宙哪個角落來的，看法可能不一樣。而且你隱約覺得，這傢伙脾氣應該也不怎麼好。
part of the orat	歐拉特的碎塊
This gleaming chunk of Orat's anatomy is the only visible proof that Orat ever existed. After that explosion, it's amazing there's that much left.	這塊閃閃發亮的歐拉特殘骸，是牠曾經存在過的唯一證據。經過那場爆炸，還能留下這麼多，已經算奇蹟了。
The orbs in this gigantic skull offer the only passageways for light into this gloomy place.	這顆巨大頭骨上的眼窩，是光線唯一能照進這片陰暗處的通道。
far wall	遠端牆壁
near wall	近側牆壁
pile of skulls	一堆頭骨
A pile of skulls lie here sucked clean by Orat, or was a result of them writing too many adventure games.	這裡堆著一堆頭骨，被歐拉特啃得乾乾淨淨；也可能只是因為他們寫的冒險遊戲寫太多了。
big rock	大石頭
That rock is almost as big as you.	那顆石頭幾乎跟你一樣大。
small rock	小石頭
That rock is too small to hide behind but too large to lift.	這顆石頭太小了，躲不了；但又太大了，搬不動。
cave floor	洞穴地面
The cave floor is littered with the usual stuff a cave would be littered with. Some sand, some rock, %s	這座洞穴的地面上，散落著洞穴裡常見的那些東西——一些沙子、一些石頭，%s
and that's about it. Oh, Yeah. There's also an Orat part.	大概就這樣了。喔對了，還有一塊歐拉特的殘塊。
none of it useful, though.	不過這些都沒什麼用。
chunk of sticky stuff	一團黏稠物
stalagmite chunk	石筍碎塊
The stalagmite itself has no smell. However, something adhering to the stalagmite does seem to generate a maggot-gagging aroma.	石筍本身沒什麼味道。不過黏在上頭的東西，倒是散發出一股能把蛆薰吐的臭味。
Hhhaaaachhhh!!! Now why did you have to go and lick the end of that thing! That was terrible! Didn't you get a clue from the nose message?	哈啾啊啊啊！！！你幹嘛非要去舔那東西的尖端啊！超噁的！剛剛聞味道的提示還不夠明顯嗎？
Skillfully maneuvering your tongue along the stalagmite removes the surface-coating of grit and, in turn, transforms your tastebuds into the organic equivalent of double-aught sandpaper.	你的舌頭靈巧地舔過石筍表面，颳掉了一層砂礫，順便把你的味蕾直接磨成了活生生的粗砂紙。
shattered rock formation	碎裂的岩層
It looks like your standard, run-of-the-mill pneumatic transport. This particular model only goes down, however. And it's not a pleasant ride.	看起來就是一般常見的氣動輸送艙。不過這一款只能往下，而且坐起來一點都不舒服。
pneumatic transport	氣動輸送艙
It looks like your standard run-of-the-mill pneumatic transport. This particular model only descends, however. And it's not a pleasant ride.	看起來就是一般常見的氣動輸送艙。不過這一款只會往下降，而且坐起來很不舒服。
some stalagmites	幾根石筍
Stalactites	鐘乳石
loose gravel	鬆動的碎石
sticky plant thing	黏黏的植物
A piece of sticky plant is stuck to the floor.	一塊黏糊糊的植物碎片黏在地上。
grate monster 1	章魚怪1
grate monster 2	章魚怪2
tentacle 1	觸鬚1
Hey, this puppy has some keen-looking tentacles.	嘿，這傢伙的觸鬚看起來還真不是蓋的。
tentacle 2	觸鬚2
creature eyestalk	怪物的眼柄
It's got the cutest little grey eye you've ever seen.	牠長著一顆你這輩子見過最可愛的灰色小眼睛。
upper ledge	上方岩架
front of grate area	柵欄區前方
grate on floor	地上的柵欄
a spacesuit helmet	一頂太空裝頭盔
acid pool	酸液池
acid Pool	酸液池
a small drop of green liquid	一小滴綠色液體
They are no longer in operation thanks to you.	多虧你，這些裝置已經不再運作了。
Something is being emitted by the devices.	這些裝置正在發出某種東西。
laser thing1	雷射裝置1
There are two metal units here which %s emitting beams of energy.	這裡有兩個金屬裝置，%s在發射能量光束。
are no longer	已經不再
appear to be	似乎正在
laser thing2	雷射裝置2
holodude look string	holodude look string
There's an upper level, with a balcony and a dark doorway. You can't see much beyond that.	上頭還有一層樓，設有陽台和一道暗門，再往裡面就看不清楚了。
computer console	電腦控制台
A computer console, a bit archaic by the standards of the Arcada, occupies the upper right corner of the room. You notice that it has a cartridge reader, much like the one you remember seeing on the Arcada's computer (except that this one hasn't been blown to smithereens).	房間右上角擺著一台電腦控制台，以阿寇達號的標準來看略顯老舊。你注意到它裝了一個資料匣讀取器，跟你記憶中阿寇達號電腦上那個很像——只不過這一台沒有被炸得粉碎。
