Special	特殊
Sound On/Off      <F2>	音效開關  <F2>
Graphics Mode <Ctrl R>	圖形模式 <Ctrl R>
Joystick      <Ctrl J>	搖桿  <Ctrl J>
Pause            <Esc>	暫停  <Esc>
Speed	速度
Normal 	普通 
Slow   	慢速   
Fast   	快速   
Fastest	最快
Space Quest was designed and created by Mark Crowe and Scott Murphy.	《宇宙傳奇》由 Mark Crowe 與 Scott Murphy 設計製作。
This is the Arcada's data archive.  Many volumes of information are stored on data cartridges.  There is a computer console here.	這裡是阿寇達號的資料庫。大量情報都存放在資料匣裡，這裡還有一台電腦主機。
This is a data storage cartridge.  On it are the words "Astral Body Formation: The Untold Story."	這是一個資料儲存匣，上面寫著「Astral Body Formation：不為人知的故事」。
The console consists of a screen, keyboard, and cartridge slot.  Atop it rests a Model DX Cartridge Retrieval Unit.	這台主機由螢幕、鍵盤與資料匣插槽組成，上面擺著一台 DX 型資料匣擷取裝置。
The screen says "Type the word `find` followed by the first name of the desired cartridge title."	螢幕上寫著：「請輸入單字 find，後面接上你要找的資料匣標題的第一個字。」
The keyboard has the usual keys found on a Xenon keyboard.  Above it are the words "Arcada Data Archive."	這副鍵盤跟氙星鍵盤沒兩樣，上方寫著「阿寇達號資料庫」幾個字。
You can't see it well from here.	你在這裡看不清楚。
You are suddenly startled by the sound of the ship's alarm coming from the hallway.	走廊傳來一陣警報聲，把你嚇了一跳。
The door opens and a man you recognize as one of the lab scientists enters.  He appears to be injured!	門打開了，一名你認得是實驗室科學家的男子走了進來。他看起來受傷了！
After only a few steps he slumps to the floor.	他才走沒幾步，就整個人癱倒在地上。
A large laser hole has been burned in his uniform through which you can see previously unexposed tissue.  Struggling painfully, he raises up on one elbow.	他的制服上被燒出一個大洞，露出裡面沒見過光的皮肉。他痛苦地掙扎，勉強用一隻手肘撐起身體。
He tells you the Arcada is under attack and that the Star Generator is in danger. You had better leave if you value your life.	他告訴你阿寇達號正遭受攻擊，星辰產生器也身陷危險。他勸你如果還想活命，最好快點離開。
He looks over toward the shelves full of cartridges and utters the words "astral body".  He then settles to the floor, lifeless.	他看向那一整排堆滿資料匣的架子，喃喃吐出「astral body」這幾個字，接著便倒地不起，沒了氣息。
Sorry, no title available by that name.	抱歉，查無此名稱的資料匣標題。
