 uniform	制服
You are 	你是
identification 	識別
There is nothing there that you can't already see.	這裡沒什麼你還沒看過的。
That does not 	那並不
I don't understand 	我聽不懂
The can gives only one size of serving, 10 gallons. I don't think you're that thirsty.	這罐子只有一種份量，10 加侖。你應該沒那麼渴吧。
A mind is a terrible thing to waste.	浪費一個腦袋，可惜了。
I'll get naked if you get naked. You go first.	你脫我就脫，你先來。
%m4%s1. Don't you remember?	%m4%s1。你不記得了嗎？
Silly human! That would not be helpful.	傻人類！那樣沒用。
Yum! What a taste treat.	哇塞！這味道真讚！
There is a red flashing alarm light here which seems to be indicating that you had better get moving.	這裡有個紅色警示燈在閃，看樣子是在叫你快點行動。
You can't hear anything of note.	你沒聽到什麼特別的。
Yes, it's true. You definitely hear footsteps. You'd better make yourself scarce!	沒錯，你確實聽到腳步聲。你最好快點閃人！
Word not known: 	看不懂的字：
%m8you.	%m8你。
There are no footsteps to hear now.	現在沒有腳步聲了。
I hope you know how strange that sounds.	希望你知道這聽起來有多奇怪。
Nothing up there is going to help you.	上面沒什麼東西能幫你。
You can't do that. Read the label, %s!	你不能那麼做。看清楚標籤，%s！
You do not possess the designated item.	你身上沒有指定的東西。
You'll have to be more specific.	講清楚一點。
This knife wouldn't cut hot margarine.	這把刀連熱奶油都切不動。
You turn the dial to the right. The light begins to glow.	你把旋鈕轉向右邊，燈開始亮了起來。
There is no need for you to turn the gadget off.	你不用把這個小裝置關掉。
You just can't do that. Really. It's not a good idea. Besides, your dental hygiene hasn't been what it should. Do the universe a favor.	你就是不能這麼做。真的。這不是好主意。而且你的牙齒也沒顧好，幫全宇宙一個忙吧。
%m4dressed in the standard issue excursion garment.	%m4穿著制式外勤服裝。
On your back is a jetpack.	你背上背著一個噴射背包。
%m4attired in the spiffy%m2 of a%m3 marauder. There is a pocket.	%m4穿著一套時髦的%m2，是%m3掠奪者的行頭。這裡有個口袋。
You have no helmet and are easily distinguished as an intruder by your non-green head.	你沒戴頭盔，光看你那顆不是綠色的頭，就知道你是個入侵者。
%m4wearing a lovely one-piece casual space travel outfit.	%m4穿著一件很好看的連身休閒太空裝。
There is printing on it.	上面印著字。
