   Generator and the people of our	產生器與我們的宇宙
  universe are in serious jeopardy.	  全體人民正陷入嚴重危機。
  The Star Generator is a miraculous	  星辰產生器是一項奇蹟般的
device. Used as intended, it will help	裝置。若依正常方式使用，將能
 preserve life for eons to come.  Used	 保存生命萬古長存。  但若
 as a device for evil, it would cause	 被用於邪惡目的，則會導致
 the destruction of millions of lives	 數百萬條生命的毀滅，
      and enslave all who oppose	      並奴役所有反抗
             the Sariens.	             沙利安人的人。
 Encoded within this cartridge are all	 本卡匣內記錄了建造
   plans and specifications for the	   星辰產生器的
  construction of the Star Generator.	  完整計畫與規格。
  Should any disaster befall the Star	  萬一星辰產生器計畫
  Generator project, scientists would	  遭逢任何意外，科學家
  be able to create a duplicate of the	  仍可憑這份資料
 Star Generator with this information.	 複製出一台星辰產生器。
   Please guard this with your life.	   請務必拚死守護此物。
 Return it to the Xenon ruling body as	 儘速將它送回氙星的
        quickly as is possible.	        統治機構。
  Important note: The Star Generator	  重要提示：星辰產生器
   is capable of self-destruction.	   具備自我摧毀能力。
 This was introduced to the system as a	 這是作為預防措施
     precaution. To activate it one	     加入系統的。啟動它
          must enter the code:	          必須輸入密碼：
    A five minute timer will begin	    屆時將開始五分鐘
 to count down. Beware - anyone within	 倒數計時。注意——
 five kilometers of the Star Generator	 星辰產生器方圓五公里內
 will be in danger once the timer has	 的任何人，一旦計時器啟動
been initiated.  Please be careful and	都會陷入危險。  請小心行事，
              good luck!	              祝你好運！
You wisely retrieve the cartridge from its slot.	你很明智地把卡匣從插槽裡取回來了。
There is nothing there.	那裡什麼都沒有。
You turn the key and suddenly the jet turbines begin to whir. The skimmer begins to shake beneath you, as its platform slowly moves into the launch tube. You can't help but wonder what you've gotten yourself into this time.	你轉動鑰匙，噴射渦輪突然發出嗡嗡聲響。沙漠飛車在你身下開始震動，載台緩緩滑進發射管。你忍不住懷疑，這次自己又惹上什麼麻煩了。
You must board the skimmmer before the key can be turned.	你得先上飛車才能轉動鑰匙。
The key is not in the keyhole.	鑰匙不在鑰匙孔裡。
That thing is not here.	那東西不在這裡。
This place is most interesting, indeed. A mixture of both old and new technologies. On one side of the chamber is a primitive steam generator. Its pistons, pounding rhythmically, turn steam into useful energy. On the other side is what appears to be a computer console.	這地方還真是有意思，新舊科技混在一起。艙房一側是一台原始的蒸汽發電機，活塞有節奏地搥打著，把蒸汽轉換成可用的能源；另一側則是一組看起來像電腦主控台的東西。
There seems to be some steam escaping with each up stroke of the pistons.	活塞每次上衝，似乎都會漏出一些蒸汽。
Catwalks have been built around the units to facilitate maintenance by the unique-looking Keronian workers. A few of them pop out occasionally to make critical adjustments.	機組周圍搭了維修走道，方便長相奇特的柯羅娜工人進行維護。偶爾會有幾個工人冒出來做些關鍵調整。
The door you entered through is shut and apparently is controlled from another location.	你進來的那扇門已經關上，顯然是由別處遙控的。
The console consists of a monitor and a cartridge slot. There are also some read-outs which indicate the status of some of the mechanisms in here.	主控台上有一個螢幕與一個卡匣插槽，另外還有幾組顯示器，標示著這裡部分機件的運作狀態。
These people of Kerona are an odd-looking lot. You can't pin it down but you are sure something is different about them.	這些柯羅娜星的居民長得挺古怪。你說不上哪裡不對勁，但你很確定他們有些地方跟一般人不一樣。
You remove the key from the skimmer.	你把鑰匙從飛車上拔了下來。
The walls are flat and featureless except for the back wall, which is partially covered by a console.	牆壁平坦而單調，只有後牆有一部分被主控台擋住。
You are already aboard.	你已經在上面了。
That is not possible at this time.	現在辦不到。
The being does not respond. He speaks only when it is his will to do so.	這個生物沒有反應，牠只在自己想開口時才會說話。
The beings are busy working and have no time to chat.	這些生物正忙著工作，沒空跟你閒聊。
As described, it is a sand skimmer and it looks like it has skimmed quite a bit of sand in its time. On it is a panel which has a small readout, currently dark, and an empty keyhole in it.	正如描述的那樣，這是一台沙漠飛車，看起來已經在沙地上跑過不少路了。上面有一個面板，裝著一個目前暗著的小顯示器，還有一個空著的鑰匙孔。
The panel has an ignition switch. There is a key in it.	面板上有個點火開關，裡面插著鑰匙。
The panel has an ignition switch. There is no key in it.	面板上有個點火開關，裡面沒有鑰匙。
A few of the Keronians above you carry out their various tasks.	你上方有幾個柯羅娜人正在做各自的工作。
You notice that the slot is just about the size of a data cartridge.	你注意到這個插槽的大小差不多剛好能放進一個資料匣。
You notice that the slot is just about the size of a data cartridge. In fact, there is one in there now.	你注意到這個插槽的大小差不多剛好能放進一個資料匣。事實上，現在裡面就插著一個。
The ignition switch has a hole for a key which is currently filled.	點火開關上有個鑰匙孔，目前插著鑰匙。
The ignition switch has a hole for a key which is currently empty.	點火開關上有個鑰匙孔，目前是空的。
Damage Report: Minor	損害報告：輕微
Damage Report: Moderate	損害報告：中等
Damage Report: Serious!	損害報告：嚴重！
Warning: Damage Situation Critical!	警告：損害狀況危急！
THUMP!!	砰！！
Had you eaten a few less donuts during the mission, you might have cleared that rock, %s1.	要是你這趟任務少吃幾個甜甜圈，%s1，說不定就閃得過那塊石頭了。
The settlement the alien spoke of appears on the horizon.	那個外星人提過的聚落出現在地平線上。
Whew! That was pretty intense. You've managed to successfully navigate through the treacherous boulder field, and are quite relieved to see that you've reached the settlement.	呼！剛剛那段真的挺刺激的。你總算成功穿過那片險惡的巨石區，看到自己終於抵達聚落，鬆了好大一口氣。
"Howdy, Bucko! Can I interest you in one of the finest little used space ships in the galaxy? You look like a man of discerning taste."	「嗨啊，小夥子！要不要考慮一下本銀河系數一數二的優質二手太空船？看你這副樣子，就知道是個懂貨的人。」
