"What have we here?"	「這裡有什麼好東西？」
You'd want MORE of THAT? You are truly twisted. Seek a physician when you hit town.	你還想要更多？你真的有夠變態，等你到鎮上記得去看醫生。
You're going to have to go one-on-one against Orat for something like that?	你打算就這樣跟歐拉特單挑？
You've just been molecularly re-distributed by the spider droid. Tough luck, %s1.	你剛剛被蜘蛛機器人拆成分子重組了。運氣真背，%s1。
You are in the slimiest of caves. The odor in here is less than desirable.	你人在一個黏糊糊的洞穴裡，這裡的味道實在不怎麼樣。
The walls are solid rock.	牆壁是堅硬的岩石。
The walls are solid rock. You notice a fine spray of glistening, metallic jelly.	牆壁是堅硬的岩石。你注意到有一層閃著金屬光澤的黏液噴濺在上面。
It looks like the rest of the ground around here. The green spots indicate that there is a little moisture.	看起來跟這附近的地面沒兩樣，上面的綠色斑點顯示這裡有一點濕氣。
On the ground rests a gleaming chunk of Orat's anatomy.	地上躺著一小塊閃閃發亮的歐拉特殘骸。
It is very large and very hard.	它又大又硬。
Orat is huge and ugly. Of course, your opinion may differ depending on what part of the universe you come from. It should also be mentioned that he is quite mean.	歐拉特體型巨大又醜陋。當然啦，這要看你是從宇宙的哪個角落來的，看法可能不太一樣。另外要提醒你一下，牠脾氣壞得很。
You shiver at the sight of the spider droid with its spindly legs and cold metallic body. Its red scanner probing the terrain for anything that moves. Truly an icon of terror.	蜘蛛機器人細長的腿和冰冷的金屬軀體讓你不寒而慄。牠紅色的掃描器正在地形上搜尋任何會動的東西，簡直就是恐怖的化身。
You are unable to do that.	你辦不到。
You have trouble moving your own carcass around. You sure can't move something that weighs several times more than you.	你連自己這副身子都快搬不動了，更別說搬動比你重好幾倍的東西。
There is no need for you to do that.	你沒必要這麼做。
Orat has transformed you into a new source of recreation.  You, of course, don't survive this treatment. It's tough to make friends around here.	歐拉特把你當成新玩具，玩了起來。你當然沒能撐過這一關，在這裡交朋友還真不容易。
Orat's eyes prove to be bigger than his stomach for once. Incapable of becoming history's first living reservoir, his body succumbs to the intense internal pressure created by nearly ten gallons of instantly reconstituted water. As a special bonus, you have received a much needed shower!	歐拉特這回真的是眼睛比胃大。牠沒能成為史上第一個活體蓄水池，將近十加侖瞬間還原的水在牠體內形成的高壓，讓牠的身體整個撐不住了。附贈的驚喜是：你順便沖了個等很久的澡！
No time for that!	現在沒空做那個！
That would be ineffective now.	現在做這個沒用。
It's a darn shame you're not around to enjoy it. You'll have to be more careful about who you hang around with in the future, %s1.	可惜你沒命留下來享受了。%s1，你以後真該小心一點自己跟什麼人混在一起。
It's too far away.	距離太遠了。
Orat is a guy of few words and none of them are for you.	歐拉特是個惜字如金的傢伙，而且一個字都不會留給你。
How do you intend to do that.	你打算怎麼做到？
This knife wouldn't cut hot margarine. Were you hoping he might die from an infected bruise?	這把刀連熱奶油都切不動，你該不會是想讓他傷口感染致死吧？
It looks like your standard run-of-the-mill pneumatic transport. This particular one only goes down, however.	看起來就是一般常見的氣動輸送管，不過這一個只能往下走。
You need to be closer.	你得再靠近一點。
It looks just like a Keronian rock should.	看起來就跟柯羅娜星該有的石頭一模一樣。
That is not here to get.	這裡沒有這種東西可以拿。
This is one end of what appears to be a large cavern. The only way to go is to the left. There is a rock nearby.	這裡是一個大洞穴的一端，唯一能走的方向是左邊，附近有一顆石頭。
rock taken	已拿取石頭
geyser plugged	間歇泉已被堵住
geyser unplugged	間歇泉已疏通
The floor is mostly rock with the exception of a grate in the middle. To the left of the grate is what appears to be a steam geyser.	地板大多是岩石，只有中間有一個柵欄，柵欄左邊看起來像是一座蒸汽間歇泉。
This is another large chamber in the underground complex. There is a path on the back wall which is not accessible from the bottom.	這是地底建築群裡的另一個大房間。後牆有一條通道，但從下面走不上去。
The grate is made of metal and seems to be fastened securely to the floor. It is too dark to see down through the grate. There is, however, an odd smell emanating from down there.	這座柵欄是金屬做的，看起來牢牢固定在地板上。裡面太暗，透過柵欄看不到下方，不過下面飄上來一股怪味。
There is a geyser cone here. The geyser is currently plugged-up with a rock.	這裡有一座間歇泉噴口，目前被一顆石頭堵住了。
There is a geyser cone here. It is rhythmically spewing hot steam.	這裡有一座間歇泉噴口，正有節奏地噴出熱蒸汽。
There is a door here.	這裡有一扇門。
There is not a door here.	這裡沒有門。
The rock would serve no purpose on the grate.	把石頭放在柵欄上沒有任何用處。
There are some slimey green tentacles poking through the grate.	有幾條黏糊糊的綠色觸鬚從柵欄縫隙裡伸出來。
Try as you might, the darn door won't open for you.	你再怎麼用力，這扇該死的門就是不肯開。
You can't do that here.	你在這裡辦不到。
You knock but, surprisingly, no one answers!	你敲了敲門，卻出乎意料地沒人應門！
Anything for a thrill, eh? That's a pretty darn interesting idea, but not the correct one.	什麼都想試試看，是吧？這點子是挺有意思的，可惜不是正確答案。
You lean over to drink from the tempting pool of liquid. As your lips touch the fluid you feel a pain which could be likened to kissing a lit rocket nozzle. Now you know what they mean when they say "Don't drink the water."	你彎下腰，想喝那看起來很誘人的池水。嘴唇一碰到液體，那股痛感就像親吻正在點火的火箭噴嘴。現在你終於懂了，人家說「別喝那個水」是什麼意思。
That can't be done now.	現在辦不到這件事。
That act cannot be performed from here.	這個動作在這裡做不到。
You gaze intently at the purplish pool of liquid, the first real sign of moisture on the planet. The pool seems to have no bottom. The gentle dripping has a soothing effect on your frazzled nerves.	你凝視著這灘紫色的池水，這是這顆星球上第一個真正的濕氣跡象。這池水似乎深不見底，輕柔的滴水聲讓你緊繃的神經稍微舒緩下來。
